Estacao;Data;Hora;Precipitacao;
83766;18/06/2015;1200;0;
83766;19/06/2015;1200;0;
83766;20/06/2015;1200;0;
83766;21/06/2015;1200;0;
83766;22/06/2015;1200;0;
83766;23/06/2015;1200;0;
83766;24/06/2015;1200;0;
83766;25/06/2015;1200;0;
83766;26/06/2015;1200;0;
83766;27/06/2015;1200;0;
83766;28/06/2015;1200;0;
83766;29/06/2015;1200;0;
83766;30/06/2015;1200;0;
83766;01/07/2015;1200;15.2;
83766;02/07/2015;1200;1.2;
83766;03/07/2015;1200;92.4;
83766;04/07/2015;1200;70.4;
83766;05/07/2015;1200;0;
83766;06/07/2015;1200;0;
83766;07/07/2015;1200;14.4;
83766;08/07/2015;1200;43.6;
83766;09/07/2015;1200;0.6;
83766;10/07/2015;1200;0;
83766;11/07/2015;1200;69;
83766;12/07/2015;1200;3.2;
83766;13/07/2015;1200;0.6;
83766;14/07/2015;1200;0;
83766;15/07/2015;1200;12.4;
83766;16/07/2015;1200;2;
83766;17/07/2015;1200;1.8;
83766;18/07/2015;1200;18.4;
83766;19/07/2015;1200;0;
83766;20/07/2015;1200;0;
83766;21/07/2015;1200;0.6;
83766;22/07/2015;1200;0;
83766;23/07/2015;1200;0;
83766;24/07/2015;1200;0.2;
83766;25/07/2015;1200;0;
83766;26/07/2015;1200;0;
83766;27/07/2015;1200;0;
83766;28/07/2015;1200;0;
83766;29/07/2015;1200;0;
83766;30/07/2015;1200;0;
83766;31/07/2015;1200;0;
83766;01/08/2015;1200;0;
83766;02/08/2015;1200;0;
83766;03/08/2015;1200;0;
83766;04/08/2015;1200;0;
83766;05/08/2015;1200;0;
83766;06/08/2015;1200;0;
83766;07/08/2015;1200;0;
83766;08/08/2015;1200;0;
83766;09/08/2015;1200;0;
83766;10/08/2015;1200;0;
83766;11/08/2015;1200;0;
83766;12/08/2015;1200;0;
83766;13/08/2015;1200;0;
83766;14/08/2015;1200;0;
83766;15/08/2015;1200;0;
83766;16/08/2015;1200;0;
83766;17/08/2015;1200;0;
83766;18/08/2015;1200;0;
83766;19/08/2015;1200;2.2;
83766;20/08/2015;1200;0;
83766;21/08/2015;1200;0;
83766;22/08/2015;1200;0;
83766;23/08/2015;1200;0;
83766;24/08/2015;1200;0;
83766;25/08/2015;1200;23.2;
83766;26/08/2015;1200;1.6;
83766;27/08/2015;1200;5.4;
83766;28/08/2015;1200;2.6;
83766;29/08/2015;1200;0;
83766;30/08/2015;1200;0;
83766;31/08/2015;1200;0;
83766;01/09/2015;1200;0;
83766;02/09/2015;1200;0;
83766;03/09/2015;1200;0;
83766;04/09/2015;1200;0;
83766;05/09/2015;1200;0;
83766;06/09/2015;1200;1.6;
83766;07/09/2015;1200;2.4;
83766;08/09/2015;1200;52.6;
83766;09/09/2015;1200;28.6;
83766;10/09/2015;1200;0.4;
83766;11/09/2015;1200;33.6;
83766;12/09/2015;1200;0;
83766;13/09/2015;1200;0.4;
83766;14/09/2015;1200;0;
83766;15/09/2015;1200;0;
83766;16/09/2015;1200;0;
83766;17/09/2015;1200;0;
83766;18/09/2015;1200;0;
83766;19/09/2015;1200;0;
83766;20/09/2015;1200;0;
83766;21/09/2015;1200;0;
83766;22/09/2015;1200;0;
83766;23/09/2015;1200;0;
83766;24/09/2015;1200;0;
83766;25/09/2015;1200;0;
83766;26/09/2015;1200;95.2;
83766;27/09/2015;1200;5.8;
83766;28/09/2015;1200;15;
83766;29/09/2015;1200;0;
83766;30/09/2015;1200;33.4;
83766;01/10/2015;1200;8.4;
83766;02/10/2015;1200;0;
83766;03/10/2015;1200;63.4;
83766;04/10/2015;1200;2;
83766;05/10/2015;1200;0;
83766;06/10/2015;1200;0;
83766;07/10/2015;1200;0;
83766;08/10/2015;1200;0;
83766;09/10/2015;1200;12;
83766;10/10/2015;1200;67.4;
83766;11/10/2015;1200;4.6;
83766;12/10/2015;1200;33.8;
83766;13/10/2015;1200;17;
83766;14/10/2015;1200;0;
83766;15/10/2015;1200;0;
83766;16/10/2015;1200;0;
83766;17/10/2015;1200;0;
83766;18/10/2015;1200;0;
83766;19/10/2015;1200;0;
83766;20/10/2015;1200;0;
83766;21/10/2015;1200;0;
83766;22/10/2015;1200;0;
83766;23/10/2015;1200;39.2;
83766;24/10/2015;1200;0.2;
83766;25/10/2015;1200;0;
83766;26/10/2015;1200;7.8;
83766;27/10/2015;1200;4.4;
83766;28/10/2015;1200;0.8;
83766;29/10/2015;1200;0;
83766;30/10/2015;1200;0;
83766;31/10/2015;1200;2.8;
83766;01/11/2015;1200;10.4;
83766;02/11/2015;1200;5;
83766;03/11/2015;1200;2.4;
83766;04/11/2015;1200;15.8;
83766;05/11/2015;1200;20.4;
83766;06/11/2015;1200;11;
83766;07/11/2015;1200;25;
83766;08/11/2015;1200;0;
83766;09/11/2015;1200;32.2;
83766;10/11/2015;1200;0;
83766;11/11/2015;1200;0;
83766;12/11/2015;1200;0;
83766;13/11/2015;1200;0;
83766;14/11/2015;1200;11;
83766;15/11/2015;1200;15.2;
83766;16/11/2015;1200;26.6;
83766;17/11/2015;1200;25.4;
83766;18/11/2015;1200;37.8;
83766;19/11/2015;1200;2;
83766;20/11/2015;1200;23.8;
83766;21/11/2015;1200;0;
83766;22/11/2015;1200;0;
83766;23/11/2015;1200;0;
83766;24/11/2015;1200;76.2;
83766;25/11/2015;1200;31.4;
83766;26/11/2015;1200;0;
83766;27/11/2015;1200;0;
83766;28/11/2015;1200;29.6;
83766;29/11/2015;1200;20.2;
83766;30/11/2015;1200;0;
83766;01/12/2015;1200;65.4;
83766;02/12/2015;1200;0;
83766;03/12/2015;1200;5;
83766;04/12/2015;1200;7.2;
83766;05/12/2015;1200;24.8;
83766;06/12/2015;1200;0;
83766;07/12/2015;1200;1.8;
83766;08/12/2015;1200;0;
83766;09/12/2015;1200;0;
83766;10/12/2015;1200;17.8;
83766;11/12/2015;1200;0;
83766;12/12/2015;1200;39;
83766;13/12/2015;1200;1.8;
83766;14/12/2015;1200;6.2;
83766;15/12/2015;1200;1.4;
83766;16/12/2015;1200;3.4;
83766;17/12/2015;1200;0;
83766;18/12/2015;1200;0;
83766;19/12/2015;1200;3.8;
83766;20/12/2015;1200;19.4;
83766;21/12/2015;1200;0;
83766;22/12/2015;1200;0;
83766;23/12/2015;1200;3;
83766;24/12/2015;1200;24.6;
83766;25/12/2015;1200;34.2;
83766;26/12/2015;1200;28.4;
83766;27/12/2015;1200;1.4;
83766;28/12/2015;1200;0.8;
83766;29/12/2015;1200;10.8;
83766;30/12/2015;1200;13.6;
83766;31/12/2015;1200;26.8;
83766;01/01/2016;1200;11.2;
83766;02/01/2016;1200;0;
83766;03/01/2016;1200;0;
83766;04/01/2016;1200;9.4;
83766;05/01/2016;1200;0;
83766;06/01/2016;1200;0;
83766;07/01/2016;1200;0;
83766;08/01/2016;1200;0;
83766;09/01/2016;1200;36.6;
83766;10/01/2016;1200;26.2;
83766;11/01/2016;1200;91.4;
83766;12/01/2016;1200;180;
83766;13/01/2016;1200;41.6;
83766;14/01/2016;1200;0;
83766;15/01/2016;1200;0;
83766;16/01/2016;1200;0;
83766;17/01/2016;1200;0;
83766;18/01/2016;1200;0;
83766;19/01/2016;1200;0;
83766;20/01/2016;1200;0;
83766;21/01/2016;1200;0;
83766;22/01/2016;1200;0;
83766;23/01/2016;1200;0;
83766;24/01/2016;1200;0;
83766;25/01/2016;1200;0;
83766;26/01/2016;1200;29.8;
83766;27/01/2016;1200;0.4;
83766;28/01/2016;1200;2.4;
83766;29/01/2016;1200;0;
83766;30/01/2016;1200;2;
83766;31/01/2016;1200;2.2;
83766;01/02/2016;1200;0;
83766;02/02/2016;1200;0;
83766;03/02/2016;1200;0;
83766;04/02/2016;1200;10.8;
83766;05/02/2016;1200;17;
83766;06/02/2016;1200;0;
83766;07/02/2016;1200;0;
83766;08/02/2016;1200;0;
83766;09/02/2016;1200;0;
83766;10/02/2016;1200;1.4;
83766;11/02/2016;1200;48.2;
83766;12/02/2016;1200;38.4;
83766;13/02/2016;1200;0;
83766;14/02/2016;1200;0;
83766;15/02/2016;1200;25.4;
83766;16/02/2016;1200;63.8;
83766;17/02/2016;1200;1.2;
83766;18/02/2016;1200;16.2;
83766;19/02/2016;1200;0;
83766;20/02/2016;1200;0;
83766;21/02/2016;1200;24.6;
83766;22/02/2016;1200;1.4;
83766;23/02/2016;1200;36.2;
83766;24/02/2016;1200;26.8;
83766;25/02/2016;1200;8;
83766;26/02/2016;1200;1.7;
83766;27/02/2016;1200;26.2;
83766;28/02/2016;1200;18.4;
83766;29/02/2016;1200;3;
83766;01/03/2016;1200;0;
83766;02/03/2016;1200;0;
83766;03/03/2016;1200;1.2;
83766;04/03/2016;1200;0;
83766;05/03/2016;1200;0;
83766;06/03/2016;1200;0;
83766;07/03/2016;1200;0;
83766;08/03/2016;1200;0;
83766;09/03/2016;1200;41;
83766;10/03/2016;1200;23.8;
83766;11/03/2016;1200;1.6;
83766;12/03/2016;1200;0;
83766;13/03/2016;1200;0;
83766;14/03/2016;1200;0;
83766;15/03/2016;1200;0;
83766;16/03/2016;1200;0;
83766;17/03/2016;1200;0.4;
83766;18/03/2016;1200;0;
83766;19/03/2016;1200;0;
83766;20/03/2016;1200;0;
83766;21/03/2016;1200;0;
83766;22/03/2016;1200;0;
83766;23/03/2016;1200;0;
83766;24/03/2016;1200;2.2;
83766;25/03/2016;1200;24;
83766;26/03/2016;1200;4.6;
83766;27/03/2016;1200;0;
83766;28/03/2016;1200;0;
83766;29/03/2016;1200;0;
83766;30/03/2016;1200;0;
83766;31/03/2016;1200;2.4;
83766;01/04/2016;1200;1;
83766;02/04/2016;1200;0;
83766;03/04/2016;1200;0;
83766;04/04/2016;1200;0;
83766;05/04/2016;1200;0;
83766;06/04/2016;1200;0;
83766;07/04/2016;1200;0;
83766;08/04/2016;1200;0;
83766;09/04/2016;1200;0;
83766;10/04/2016;1200;0;
83766;11/04/2016;1200;0;
83766;12/04/2016;1200;0;
83766;13/04/2016;1200;0;
83766;14/04/2016;1200;0;
83766;15/04/2016;1200;0;
83766;16/04/2016;1200;0;
83766;17/04/2016;1200;0;
83766;18/04/2016;1200;0;
83766;19/04/2016;1200;0;
83766;20/04/2016;1200;0;
83766;21/04/2016;1200;0;
83766;22/04/2016;1200;0;
83766;23/04/2016;1200;0;
83766;24/04/2016;1200;0;
83766;25/04/2016;1200;0;
83766;26/04/2016;1200;50.2;
83766;27/04/2016;1200;29.6;
83766;28/04/2016;1200;0;
83766;29/04/2016;1200;0;
83766;30/04/2016;1200;0;
83766;01/05/2016;1200;0;
83766;02/05/2016;1200;0;
83766;03/05/2016;1200;0;
83766;04/05/2016;1200;0;
83766;05/05/2016;1200;0;
83766;06/05/2016;1200;0;
83766;07/05/2016;1200;2;
83766;08/05/2016;1200;26.6;
83766;09/05/2016;1200;66.4;
83766;10/05/2016;1200;43.5;
83766;11/05/2016;1200;0;
83766;12/05/2016;1200;0;
83766;13/05/2016;1200;0;
83766;14/05/2016;1200;0;
83766;15/05/2016;1200;0;
83766;16/05/2016;1200;8.4;
83766;17/05/2016;1200;0;
83766;18/05/2016;1200;11.6;
83766;19/05/2016;1200;13.8;
83766;20/05/2016;1200;0;
83766;21/05/2016;1200;2.2;
83766;22/05/2016;1200;1;
83766;23/05/2016;1200;10.8;
83766;24/05/2016;1200;0;
83766;25/05/2016;1200;0;
83766;26/05/2016;1200;0;
83766;27/05/2016;1200;1.4;
83766;28/05/2016;1200;11.6;
83766;29/05/2016;1200;68;
83766;30/05/2016;1200;9.4;
83766;31/05/2016;1200;11.6;
83766;01/06/2016;1200;16.8;
83766;02/06/2016;1200;13.2;
83766;03/06/2016;1200;0;
83766;04/06/2016;1200;0;
83766;05/06/2016;1200;55.2;
83766;06/06/2016;1200;7.4;
83766;07/06/2016;1200;28.2;
83766;08/06/2016;1200;0;
83766;09/06/2016;1200;0;
83766;10/06/2016;1200;0;
83766;11/06/2016;1200;0;
83766;12/06/2016;1200;0;
83766;13/06/2016;1200;0;
83766;14/06/2016;1200;0;
83766;15/06/2016;1200;0;
83766;16/06/2016;1200;0;
83766;17/06/2016;1200;0;
83766;18/06/2016;1200;0;
83766;19/06/2016;1200;0;
83766;20/06/2016;1200;0;
83766;21/06/2016;1200;0;
83766;22/06/2016;1200;0;
83766;23/06/2016;1200;0;
83766;24/06/2016;1200;0;
83766;25/06/2016;1200;0;
83766;26/06/2016;1200;0;
83766;27/06/2016;1200;0;
83766;28/06/2016;1200;0;
83766;29/06/2016;1200;0;
83766;30/06/2016;1200;0;
83766;01/07/2016;1200;0;
83766;02/07/2016;1200;0;
83766;03/07/2016;1200;0;
83766;04/07/2016;1200;0;
83766;05/07/2016;1200;0;
83766;06/07/2016;1200;0;
83766;07/07/2016;1200;1.2;
83766;08/07/2016;1200;0;
83766;09/07/2016;1200;0;
83766;10/07/2016;1200;0;
83766;11/07/2016;1200;0;
83766;12/07/2016;1200;0;
83766;13/07/2016;1200;0;
83766;14/07/2016;1200;0;
83766;15/07/2016;1200;0;
83766;16/07/2016;1200;28.6;
83766;17/07/2016;1200;3.8;
83766;18/07/2016;1200;0;
83766;19/07/2016;1200;0;
83766;20/07/2016;1200;0;
83766;21/07/2016;1200;0;
83766;22/07/2016;1200;0;
83766;23/07/2016;1200;0;
83766;24/07/2016;1200;0;
83766;25/07/2016;1200;0;
83766;26/07/2016;1200;0;
83766;27/07/2016;1200;0;
83766;28/07/2016;1200;0;
83766;29/07/2016;1200;0;
83766;30/07/2016;1200;0;
83766;31/07/2016;1200;0;
83766;01/08/2016;1200;0;
83766;02/08/2016;1200;0;
83766;03/08/2016;1200;0;
83766;04/08/2016;1200;0;
83766;05/08/2016;1200;0;
83766;06/08/2016;1200;0;
83766;07/08/2016;1200;0;
83766;08/08/2016;1200;0;
83766;09/08/2016;1200;9;
83766;10/08/2016;1200;0.4;
83766;11/08/2016;1200;0;
83766;12/08/2016;1200;0;
83766;13/08/2016;1200;0;
83766;14/08/2016;1200;0;
83766;15/08/2016;1200;0;
83766;16/08/2016;1200;11.2;
83766;17/08/2016;1200;0;
83766;18/08/2016;1200;0;
83766;19/08/2016;1200;3.4;
83766;20/08/2016;1200;15.6;
83766;21/08/2016;1200;52.4;
83766;22/08/2016;1200;0;
83766;23/08/2016;1200;0;
83766;24/08/2016;1200;0;
83766;25/08/2016;1200;0;
83766;26/08/2016;1200;0;
83766;27/08/2016;1200;0;
83766;28/08/2016;1200;0;
83766;29/08/2016;1200;0;
83766;30/08/2016;1200;9.8;
83766;31/08/2016;1200;21.2;
83766;01/09/2016;1200;0;
83766;02/09/2016;1200;0;
83766;03/09/2016;1200;0;
83766;04/09/2016;1200;20;
83766;05/09/2016;1200;0;
83766;06/09/2016;1200;14.2;
83766;07/09/2016;1200;0;
83766;08/09/2016;1200;0;
83766;09/09/2016;1200;0;
83766;10/09/2016;1200;0;
83766;11/09/2016;1200;0;
83766;12/09/2016;1200;0;
83766;13/09/2016;1200;0;
83766;14/09/2016;1200;2;
83766;15/09/2016;1200;0;
83766;16/09/2016;1200;0;
83766;17/09/2016;1200;0;
83766;18/09/2016;1200;0;
83766;19/09/2016;1200;0;
83766;20/09/2016;1200;17.4;
83766;21/09/2016;1200;0;
83766;22/09/2016;1200;0;
83766;23/09/2016;1200;0;
83766;24/09/2016;1200;0;
83766;25/09/2016;1200;0;
83766;26/09/2016;1200;0;
83766;27/09/2016;1200;0;
83766;28/09/2016;1200;0;
83766;29/09/2016;1200;0;
83766;30/09/2016;1200;0;
83766;01/10/2016;1200;0;
83766;02/10/2016;1200;0;
83766;03/10/2016;1200;1.4;
83766;04/10/2016;1200;5.1;
83766;05/10/2016;1200;0;
83766;06/10/2016;1200;0;
83766;07/10/2016;1200;0;
83766;08/10/2016;1200;0;
83766;09/10/2016;1200;0;
83766;10/10/2016;1200;0;
83766;11/10/2016;1200;0;
83766;12/10/2016;1200;2.2;
83766;13/10/2016;1200;16;
83766;14/10/2016;1200;39.5;
83766;15/10/2016;1200;2;
83766;16/10/2016;1200;0;
83766;17/10/2016;1200;0;
83766;18/10/2016;1200;0;
83766;19/10/2016;1200;3.8;
83766;20/10/2016;1200;0;
83766;21/10/2016;1200;57.5;
83766;22/10/2016;1200;0;
83766;23/10/2016;1200;0;
83766;24/10/2016;1200;0;
83766;25/10/2016;1200;33.5;
83766;26/10/2016;1200;20.6;
83766;27/10/2016;1200;7.9;
83766;28/10/2016;1200;0;
83766;29/10/2016;1200;0;
83766;30/10/2016;1200;0;
83766;31/10/2016;1200;0;
83766;01/11/2016;1200;1.2;
83766;02/11/2016;1200;0;
83766;03/11/2016;1200;5;
83766;04/11/2016;1200;0;
83766;05/11/2016;1200;0;
83766;06/11/2016;1200;0;
83766;07/11/2016;1200;0;
83766;08/11/2016;1200;0;
83766;09/11/2016;1200;1.2;
83766;10/11/2016;1200;6.5;
83766;11/11/2016;1200;0;
83766;12/11/2016;1200;9.8;
83766;13/11/2016;1200;0.8;
83766;14/11/2016;1200;0;
83766;15/11/2016;1200;0;
83766;16/11/2016;1200;0;
83766;17/11/2016;1200;0.4;
83766;18/11/2016;1200;0;
83766;19/11/2016;1200;0;
83766;20/11/2016;1200;0;
83766;21/11/2016;1200;0;
83766;22/11/2016;1200;0;
83766;23/11/2016;1200;0;
83766;24/11/2016;1200;0;
83766;25/11/2016;1200;5.4;
83766;26/11/2016;1200;0;
83766;27/11/2016;1200;0;
83766;28/11/2016;1200;5.8;
83766;29/11/2016;1200;49.1;
83766;30/11/2016;1200;5.8;
83766;01/12/2016;1200;0;
83766;02/12/2016;1200;0;
83766;03/12/2016;1200;1.2;
83766;04/12/2016;1200;18.8;
83766;05/12/2016;1200;0;
83766;06/12/2016;1200;0;
83766;07/12/2016;1200;0.4;
83766;08/12/2016;1200;0;
83766;09/12/2016;1200;8.4;
83766;10/12/2016;1200;5.2;
83766;11/12/2016;1200;15.2;
83766;12/12/2016;1200;6.8;
83766;13/12/2016;1200;0;
83766;14/12/2016;1200;10.8;
83766;15/12/2016;1200;0;
83766;16/12/2016;1200;0;
83766;17/12/2016;1200;0;
83766;18/12/2016;1200;0;
83766;19/12/2016;1200;23.7;
83766;20/12/2016;1200;8.2;
83766;21/12/2016;1200;3.6;
83766;22/12/2016;1200;5.1;
83766;23/12/2016;1200;0;
83766;24/12/2016;1200;0;
83766;25/12/2016;1200;0;
83766;26/12/2016;1200;0;
83766;27/12/2016;1200;0;
83766;28/12/2016;1200;0;
83766;29/12/2016;1200;37.2;
