Estacao,Data,Hora,Precipitacao
83842,26/09/2015,1200,11.6
83842,27/09/2015,1200,1.8
83842,28/09/2015,1200,27
83842,29/09/2015,1200,0
83842,30/09/2015,1200,0
83842,01/10/2015,1200,20.7
83842,02/10/2015,1200,0
83842,03/10/2015,1200,17.8
83842,04/10/2015,1200,0
83842,05/10/2015,1200,0
83842,06/10/2015,1200,0
83842,07/10/2015,1200,0
83842,08/10/2015,1200,0
83842,09/10/2015,1200,44.3
83842,10/10/2015,1200,19.6
83842,11/10/2015,1200,1.8
83842,12/10/2015,1200,26.3
83842,13/10/2015,1200,1.8
83842,14/10/2015,1200,0
83842,15/10/2015,1200,0
83842,16/10/2015,1200,0
83842,17/10/2015,1200,4.2
83842,18/10/2015,1200,0
83842,19/10/2015,1200,0
83842,20/10/2015,1200,0
83842,21/10/2015,1200,0.2
83842,22/10/2015,1200,42.4
83842,23/10/2015,1200,52.3
83842,24/10/2015,1200,0.9
83842,25/10/2015,1200,0.4
83842,26/10/2015,1200,1.3
83842,27/10/2015,1200,11.3
83842,28/10/2015,1200,0
83842,29/10/2015,1200,0.4
83842,30/10/2015,1200,0.9
83842,31/10/2015,1200,0.1
83842,01/11/2015,1200,19.1
83842,02/11/2015,1200,1.8
83842,03/11/2015,1200,1.9
83842,04/11/2015,1200,1
83842,05/11/2015,1200,19.7
83842,06/11/2015,1200,13.9
83842,07/11/2015,1200,0
83842,08/11/2015,1200,0.7
83842,09/11/2015,1200,3
83842,10/11/2015,1200,0
83842,11/11/2015,1200,12.8
83842,12/11/2015,1200,5.2
83842,13/11/2015,1200,2.5
83842,14/11/2015,1200,0.3
83842,15/11/2015,1200,0.5
83842,16/11/2015,1200,35
83842,17/11/2015,1200,0
83842,18/11/2015,1200,6.9
83842,19/11/2015,1200,2.4
83842,20/11/2015,1200,16.7
83842,21/11/2015,1200,0
83842,22/11/2015,1200,0
83842,23/11/2015,1200,48
83842,24/11/2015,1200,16.6
83842,25/11/2015,1200,10.1
83842,26/11/2015,1200,0.1
83842,27/11/2015,1200,0.1
83842,28/11/2015,1200,4.9
83842,29/11/2015,1200,0.2
83842,30/11/2015,1200,17.8
83842,01/12/2015,1200,4.8
83842,02/12/2015,1200,0.3
83842,03/12/2015,1200,18.6
83842,04/12/2015,1200,8
83842,05/12/2015,1200,0.4
83842,06/12/2015,1200,1.2
83842,07/12/2015,1200,21.2
83842,08/12/2015,1200,0
83842,09/12/2015,1200,0
83842,10/12/2015,1200,11.4
83842,11/12/2015,1200,0.2
83842,12/12/2015,1200,0
83842,13/12/2015,1200,15.8
83842,14/12/2015,1200,0
83842,15/12/2015,1200,0.3
83842,16/12/2015,1200,0.2
83842,17/12/2015,1200,0
83842,18/12/2015,1200,0
83842,19/12/2015,1200,2.9
83842,20/12/2015,1200,18.8
83842,21/12/2015,1200,18.7
83842,22/12/2015,1200,0
83842,23/12/2015,1200,0.2
83842,24/12/2015,1200,0
83842,25/12/2015,1200,0
83842,26/12/2015,1200,60.3
83842,27/12/2015,1200,52.2
83842,28/12/2015,1200,0.5
83842,29/12/2015,1200,16.8
83842,30/12/2015,1200,5.9
83842,31/12/2015,1200,0.8
83842,01/01/2016,1200,0.4
83842,02/01/2016,1200,10.8
83842,03/01/2016,1200,1.4
83842,04/01/2016,1200,0.7
83842,05/01/2016,1200,0
83842,06/01/2016,1200,0
83842,07/01/2016,1200,0
83842,08/01/2016,1200,0
83842,09/01/2016,1200,0
83842,10/01/2016,1200,55.5
83842,11/01/2016,1200,28
83842,12/01/2016,1200,27.1
83842,13/01/2016,1200,0
83842,14/01/2016,1200,0
83842,15/01/2016,1200,0
83842,16/01/2016,1200,0
83842,17/01/2016,1200,0
83842,18/01/2016,1200,0
83842,19/01/2016,1200,0
83842,20/01/2016,1200,0
83842,21/01/2016,1200,0
83842,22/01/2016,1200,2.3
83842,23/01/2016,1200,1.4
83842,24/01/2016,1200,0
83842,25/01/2016,1200,0
83842,26/01/2016,1200,0.3
83842,27/01/2016,1200,6.8
83842,28/01/2016,1200,25.4
83842,29/01/2016,1200,2.8
83842,30/01/2016,1200,1.3
83842,31/01/2016,1200,0.1
83842,01/02/2016,1200,0
83842,02/02/2016,1200,16.5
83842,03/02/2016,1200,0.4
83842,04/02/2016,1200,10.3
83842,05/02/2016,1200,0.9
83842,06/02/2016,1200,13
83842,07/02/2016,1200,1.8
83842,08/02/2016,1200,29.3
83842,09/02/2016,1200,0
83842,10/02/2016,1200,40
83842,11/02/2016,1200,26.8
83842,12/02/2016,1200,0
83842,13/02/2016,1200,0
83842,14/02/2016,1200,3
83842,15/02/2016,1200,4.9
83842,16/02/2016,1200,7.8
83842,17/02/2016,1200,4.4
83842,18/02/2016,1200,0.4
83842,19/02/2016,1200,19.3
83842,20/02/2016,1200,0.9
83842,21/02/2016,1200,10.4
83842,22/02/2016,1200,3.6
83842,23/02/2016,1200,86.3
83842,24/02/2016,1200,3.7
83842,25/02/2016,1200,0.7
83842,26/02/2016,1200,1.4
83842,27/02/2016,1200,0
83842,28/02/2016,1200,0.5
83842,29/02/2016,1200,9.5
83842,01/03/2016,1200,0
83842,02/03/2016,1200,0
83842,03/03/2016,1200,0
83842,04/03/2016,1200,6.2
83842,05/03/2016,1200,0
83842,06/03/2016,1200,0
83842,07/03/2016,1200,0
83842,08/03/2016,1200,0
83842,09/03/2016,1200,32
83842,10/03/2016,1200,18.8
83842,11/03/2016,1200,1.4
83842,12/03/2016,1200,0.2
83842,13/03/2016,1200,2.5
83842,14/03/2016,1200,0
83842,15/03/2016,1200,0.3
83842,16/03/2016,1200,0
83842,17/03/2016,1200,0.2
83842,18/03/2016,1200,0
83842,19/03/2016,1200,0
83842,20/03/2016,1200,0
83842,21/03/2016,1200,0
83842,22/03/2016,1200,0.4
83842,23/03/2016,1200,8.4
83842,24/03/2016,1200,10.8
83842,25/03/2016,1200,5
83842,26/03/2016,1200,0.2
83842,27/03/2016,1200,0
83842,28/03/2016,1200,0
83842,29/03/2016,1200,0
83842,30/03/2016,1200,0
83842,31/03/2016,1200,6.4
83842,01/04/2016,1200,2.6
83842,02/04/2016,1200,0
83842,03/04/2016,1200,4.8
83842,04/04/2016,1200,0
83842,05/04/2016,1200,0
83842,06/04/2016,1200,0
83842,07/04/2016,1200,0
83842,08/04/2016,1200,0
83842,09/04/2016,1200,0
83842,10/04/2016,1200,8.9
83842,11/04/2016,1200,40.1
83842,12/04/2016,1200,26.1
83842,13/04/2016,1200,13.2
83842,14/04/2016,1200,0.5
83842,15/04/2016,1200,0
83842,16/04/2016,1200,0
83842,17/04/2016,1200,0
83842,18/04/2016,1200,0
83842,19/04/2016,1200,0
83842,20/04/2016,1200,0
83842,21/04/2016,1200,0
83842,22/04/2016,1200,0
83842,23/04/2016,1200,0.1
83842,24/04/2016,1200,0
83842,25/04/2016,1200,0
83842,26/04/2016,1200,37.8
83842,27/04/2016,1200,8.6
83842,28/04/2016,1200,0
83842,29/04/2016,1200,0
83842,30/04/2016,1200,0
83842,01/05/2016,1200,0
83842,02/05/2016,1200,0.1
83842,03/05/2016,1200,0
83842,04/05/2016,1200,0
83842,05/05/2016,1200,0
83842,06/05/2016,1200,0
83842,07/05/2016,1200,10.2
83842,08/05/2016,1200,0
83842,09/05/2016,1200,0.1
83842,10/05/2016,1200,14
83842,11/05/2016,1200,0
83842,12/05/2016,1200,12.5
83842,13/05/2016,1200,0
83842,14/05/2016,1200,0.4
83842,15/05/2016,1200,0.2
83842,16/05/2016,1200,17.5
83842,17/05/2016,1200,0.2
83842,18/05/2016,1200,0.2
83842,19/05/2016,1200,0
83842,20/05/2016,1200,0.8
83842,21/05/2016,1200,39.8
83842,22/05/2016,1200,5.4
83842,23/05/2016,1200,31.1
83842,24/05/2016,1200,0
83842,25/05/2016,1200,0.4
83842,26/05/2016,1200,0
83842,27/05/2016,1200,2.6
83842,28/05/2016,1200,1.1
83842,29/05/2016,1200,1.5
83842,30/05/2016,1200,3.2
83842,31/05/2016,1200,1
83842,01/06/2016,1200,1.6
83842,02/06/2016,1200,31.3
83842,03/06/2016,1200,0
83842,04/06/2016,1200,0
83842,05/06/2016,1200,0.2
83842,06/06/2016,1200,15.2
83842,07/06/2016,1200,1.2
83842,08/06/2016,1200,0
83842,09/06/2016,1200,0
83842,10/06/2016,1200,0
83842,11/06/2016,1200,0
83842,12/06/2016,1200,0
83842,13/06/2016,1200,0
83842,14/06/2016,1200,0
83842,15/06/2016,1200,0
83842,16/06/2016,1200,0
83842,17/06/2016,1200,0
83842,18/06/2016,1200,1.7
83842,19/06/2016,1200,10.4
83842,20/06/2016,1200,0.9
83842,21/06/2016,1200,25.3
83842,22/06/2016,1200,32.2
83842,23/06/2016,1200,10.9
83842,24/06/2016,1200,0
83842,25/06/2016,1200,0
83842,26/06/2016,1200,0
83842,27/06/2016,1200,0
83842,28/06/2016,1200,0
83842,29/06/2016,1200,0
83842,30/06/2016,1200,0
83842,01/07/2016,1200,0.1
83842,02/07/2016,1200,0.1
83842,03/07/2016,1200,0
83842,04/07/2016,1200,0
83842,05/07/2016,1200,0
83842,06/07/2016,1200,0
83842,07/07/2016,1200,2.6
83842,08/07/2016,1200,0
83842,09/07/2016,1200,0
83842,10/07/2016,1200,0
83842,11/07/2016,1200,0
83842,12/07/2016,1200,0
83842,13/07/2016,1200,61.9
83842,14/07/2016,1200,9.4
83842,15/07/2016,1200,0
83842,16/07/2016,1200,32
83842,17/07/2016,1200,10.8
83842,18/07/2016,1200,0
83842,19/07/2016,1200,0
83842,20/07/2016,1200,0
83842,21/07/2016,1200,0
83842,22/07/2016,1200,0
83842,23/07/2016,1200,0
83842,24/07/2016,1200,0.2
83842,25/07/2016,1200,0
83842,26/07/2016,1200,0
83842,27/07/2016,1200,0
83842,28/07/2016,1200,0
83842,29/07/2016,1200,0
83842,30/07/2016,1200,0
83842,31/07/2016,1200,0
83842,01/08/2016,1200,0
83842,02/08/2016,1200,0
83842,03/08/2016,1200,0
83842,04/08/2016,1200,0
83842,05/08/2016,1200,0
83842,06/08/2016,1200,0
83842,07/08/2016,1200,0.2
83842,08/08/2016,1200,19.7
83842,09/08/2016,1200,13.2
83842,10/08/2016,1200,0
83842,11/08/2016,1200,0
83842,12/08/2016,1200,0
83842,13/08/2016,1200,0
83842,14/08/2016,1200,0
83842,15/08/2016,1200,0
83842,16/08/2016,1200,11.4
83842,17/08/2016,1200,0
83842,18/08/2016,1200,24.4
83842,19/08/2016,1200,16.4
83842,20/08/2016,1200,29.8
83842,21/08/2016,1200,39.6
83842,22/08/2016,1200,8.5
83842,23/08/2016,1200,0
83842,24/08/2016,1200,0
83842,25/08/2016,1200,0
83842,26/08/2016,1200,0
83842,27/08/2016,1200,0
83842,28/08/2016,1200,0
83842,29/08/2016,1200,0
83842,30/08/2016,1200,2.7
83842,31/08/2016,1200,6.4
83842,01/09/2016,1200,0
83842,02/09/2016,1200,0.4
83842,03/09/2016,1200,0
83842,04/09/2016,1200,77
83842,05/09/2016,1200,4.7
83842,06/09/2016,1200,3
83842,07/09/2016,1200,0
83842,08/09/2016,1200,0
83842,09/09/2016,1200,0
83842,10/09/2016,1200,0
83842,11/09/2016,1200,0
83842,12/09/2016,1200,0
83842,13/09/2016,1200,0
83842,14/09/2016,1200,0.4
83842,15/09/2016,1200,0
83842,16/09/2016,1200,0
83842,17/09/2016,1200,0
83842,18/09/2016,1200,0
83842,19/09/2016,1200,7.6
83842,20/09/2016,1200,0
83842,21/09/2016,1200,0
83842,22/09/2016,1200,0.2
83842,23/09/2016,1200,0
83842,24/09/2016,1200,0
83842,25/09/2016,1200,1.7
83842,26/09/2016,1200,0
83842,27/09/2016,1200,0
83842,28/09/2016,1200,0
83842,29/09/2016,1200,0
83842,30/09/2016,1200,0
83842,01/10/2016,1200,0
83842,02/10/2016,1200,1.8
83842,03/10/2016,1200,2
83842,04/10/2016,1200,0.1
83842,05/10/2016,1200,0
83842,06/10/2016,1200,14.9
83842,07/10/2016,1200,19.7
83842,08/10/2016,1200,0
83842,09/10/2016,1200,0
83842,10/10/2016,1200,0
83842,11/10/2016,1200,0
83842,12/10/2016,1200,0
83842,13/10/2016,1200,31.4
83842,14/10/2016,1200,7.1
83842,15/10/2016,1200,0.1
83842,16/10/2016,1200,0
83842,17/10/2016,1200,0
83842,18/10/2016,1200,28.6
83842,19/10/2016,1200,39.6
83842,20/10/2016,1200,0.4
83842,21/10/2016,1200,16.2
83842,22/10/2016,1200,0.3
83842,23/10/2016,1200,0
83842,24/10/2016,1200,0
83842,25/10/2016,1200,1.4
83842,26/10/2016,1200,3.9
83842,27/10/2016,1200,4.4
83842,28/10/2016,1200,0
83842,29/10/2016,1200,0
83842,30/10/2016,1200,0.2
83842,31/10/2016,1200,0
83842,01/11/2016,1200,0
83842,02/11/2016,1200,0
83842,03/11/2016,1200,9.6
83842,04/11/2016,1200,0
83842,05/11/2016,1200,0
83842,06/11/2016,1200,0
83842,07/11/2016,1200,0
83842,08/11/2016,1200,0
83842,09/11/2016,1200,4.3
83842,10/11/2016,1200,49.7
83842,11/11/2016,1200,0
83842,12/11/2016,1200,9.6
83842,13/11/2016,1200,0
83842,14/11/2016,1200,0
83842,15/11/2016,1200,0.6
83842,16/11/2016,1200,0.2
83842,17/11/2016,1200,8.4
83842,18/11/2016,1200,0
83842,19/11/2016,1200,0
83842,20/11/2016,1200,0
83842,21/11/2016,1200,0
83842,22/11/2016,1200,0
83842,23/11/2016,1200,0
83842,24/11/2016,1200,0
83842,25/11/2016,1200,0
83842,26/11/2016,1200,13.6
83842,27/11/2016,1200,0
83842,28/11/2016,1200,5.4
83842,29/11/2016,1200,0.4
83842,30/11/2016,1200,0.9
83842,01/12/2016,1200,0.4
83842,02/12/2016,1200,0
83842,03/12/2016,1200,0.1
83842,04/12/2016,1200,11.7
83842,05/12/2016,1200,8.2
83842,06/12/2016,1200,0
83842,07/12/2016,1200,0
83842,08/12/2016,1200,0
83842,09/12/2016,1200,6.6
83842,10/12/2016,1200,11.4
83842,11/12/2016,1200,2
83842,12/12/2016,1200,3.4
83842,13/12/2016,1200,0
83842,14/12/2016,1200,0
83842,15/12/2016,1200,0
83842,16/12/2016,1200,0.2
83842,17/12/2016,1200,0
83842,18/12/2016,1200,0
83842,19/12/2016,1200,0.4
83842,20/12/2016,1200,0
83842,21/12/2016,1200,3.6
83842,22/12/2016,1200,0
83842,23/12/2016,1200,0
83842,24/12/2016,1200,1.6
83842,25/12/2016,1200,2.5
83842,26/12/2016,1200,0
83842,27/12/2016,1200,0
83842,28/12/2016,1200,2.8
83842,29/12/2016,1200,18.9
83842,30/12/2016,1200,1.2
83842,31/12/2016,1200,1
83842,01/01/2017,1200,0.2
